reduction -- vector examples,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_2,  combine8_4,  combine8_8 ,,,,,,
5696000,17045306,5722812,4347962,2226940,1545170,1512295,2.992504565,1.004707163,0.763336025,0.39096559,0.271272823,0.265501229
5728000,17142420,5760120,4365196,2239195,1557681,1523968,2.992740922,1.005607542,0.762080307,0.390920915,0.271941515,0.266055866
5760000,17238312,5786227,4396591,2251968,1566765,1526344,2.9927625,1.004553299,0.763297049,0.390966667,0.272007813,0.264990278
5792000,17333172,5820794,4417557,2264294,1569463,1540041,2.992605663,1.00497134,0.762699758,0.390934738,0.270970822,0.265891057
5824000,17434490,5856451,4441972,2275699,1579682,1548520,2.993559409,1.005571944,0.762701236,0.390745021,0.271236607,0.265885989
5856000,17533576,5882906,4466774,2287341,1590736,1550908,2.994121585,1.004594604,0.762768784,0.390597848,0.271642077,0.264840847
5888000,17648947,5920221,4487798,2298429,1594552,1564144,2.997443444,1.005472317,0.762193954,0.390358186,0.270813859,0.265649457
5920000,17745021,5946691,4509511,2311224,1606497,1572746,2.997469764,1.004508615,0.761741723,0.390409459,0.271367736,0.265666554
5952000,17820643,5986857,4535220,2328091,1618346,1574947,2.994059644,1.005856351,0.761965726,0.391144321,0.27189953,0.264608031
5984000,17912803,6012213,4558960,2336011,1621831,1587393,2.993449699,1.004714739,0.761858289,0.39037617,0.271027908,0.265272894
6016000,18005606,6046593,4583013,2349974,1634978,1596535,2.992953125,1.005085273,0.761804023,0.390620678,0.271771609,0.265381483
6048000,18102573,6076660,4608180,2359392,1649697,1599134,2.993150298,1.004738757,0.761934524,0.390111111,0.272767361,0.264407077
6080000,18196867,6111084,4630692,2372757,1653883,1612298,2.992905757,1.0051125,0.761626974,0.390256086,0.27202023,0.265180592
6112000,18294494,6142012,4654812,2387035,1665900,1620256,2.993209097,1.00491034,0.761585733,0.39054892,0.272562173,0.265094241
6144000,18385394,6180321,4678732,2397436,1673308,1622488,2.992414388,1.005911621,0.76151237,0.390207682,0.272348307,0.264076823
6176000,18486448,6206388,4703318,2407608,1681771,1636322,2.993272021,1.004920337,0.761547604,0.389832902,0.272307481,0.26494851
6208000,18582285,6237698,4728213,2422164,1687656,1644655,2.993280445,1.004783827,0.761632249,0.39016817,0.271851804,0.264925097
6240000,18678561,6270175,4750694,2432349,1700373,1646714,2.993359135,1.004835737,0.761329167,0.389799519,0.272495673,0.263896474
6272000,18768888,6301766,4777096,2445583,1708279,1659177,2.99248852,1.004745855,0.761654337,0.389920759,0.272365912,0.264537149
6304000,18870739,6335179,4799109,2456004,1710499,1670685,2.993454791,1.004945907,0.761279981,0.389594543,0.271335501,0.265019829
6336000,18966496,6367939,4822740,2468316,1725477,1670786,2.993449495,1.005040878,0.761164773,0.389570076,0.272329072,0.263697285
6368000,19062276,6396672,4848290,2482375,1732490,1683444,2.993447864,1.004502513,0.761352073,0.389820195,0.272061872,0.264359925
6400000,19157347,6430639,4871239,2493794,1738063,1692093,2.993335469,1.004787344,0.761131094,0.389655313,0.271572344,0.264389531
6432000,19254460,6465758,4894555,2506228,1743192,1698950,2.993541667,1.005248445,0.760969372,0.389649876,0.271018657,0.264140236
6464000,19350926,6491901,4919784,2517448,1761405,1703491,2.99364573,1.004316368,0.761105198,0.389456683,0.272494585,0.263535118
6496000,19446477,6526533,4942689,2529912,1769695,1716508,2.993607913,1.004700277,0.760881927,0.389456897,0.272428417,0.264240764
6528000,19544952,6560035,4966732,2542675,1778412,1723764,2.994018382,1.004907322,0.760835172,0.389502911,0.272428309,0.264056985
6560000,19642425,6589941,4991241,2553554,1786372,1727664,2.994272104,1.004564177,0.760859909,0.38926128,0.272312805,0.263363415
6592000,19733767,6622418,5015040,2565244,1799527,1740316,2.993593295,1.004614381,0.760776699,0.389145024,0.272986499,0.264004248
6624000,19830604,6655399,5039100,2576908,1811234,1746852,2.993750604,1.004740187,0.760733696,0.389025966,0.273435085,0.26371558
6656000,19926151,6686421,5062740,2589955,1815981,1756908,2.99371259,1.004570463,0.760628005,0.389115835,0.272833684,0.263958534
6688000,20028981,6721000,5091892,2605593,1822065,1759653,2.994763906,1.004934211,0.761347488,0.389592255,0.272437949,0.263106011
6720000,20121259,6750031,5111570,2614456,1834903,1772284,2.99423497,1.004468899,0.760650298,0.389055952,0.273051042,0.263732738
6752000,20218339,6781747,5135152,2625696,1841827,1778702,2.994422245,1.004405658,0.760537915,0.388876777,0.272782435,0.263433353
6784000,20310386,6817437,5159133,2638284,1851924,1785828,2.993865861,1.004928803,0.760485407,0.388897995,0.27298408,0.263241156
