reduction -- vector examples,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,
size, combine4, combine6_5, combine8,  combine8_4 ,,,,,, combine4, combine6_5, combine8,  combine8_4 
7968000,41619340,7988565,3070399,1086604,5.223310743,1.002580949,0.38534124,0.136370984,,,,,
8000000,37450087,8026521,3084273,1086676,4.681260875,1.003315125,0.385534125,0.1358345,,,,,
8032000,34594435,8059053,3098546,1097512,4.307076071,1.003368152,0.385775149,0.13664243,,,,,
8064000,31901731,8086166,3106874,1094212,3.956067832,1.00274876,0.385277034,0.135690972,,,,,
8096000,30148329,8123352,3118387,1102728,3.723854867,1.003378458,0.38517626,0.136206522,,,,,
8128000,28491652,8153414,3130413,1102622,3.505370571,1.003126722,0.385139395,0.135657234,,,,,
8160000,27215018,8186544,3146308,1111207,3.335173775,1.003252941,0.385576961,0.136177328,,,,,
8192000,26035214,8227596,3157320,1111077,3.178126709,1.004345215,0.385415039,0.135629517,,,,,
8224000,24924612,8256559,3166545,1120228,3.03071644,1.003959022,0.385037087,0.136214494,,,,,
8256000,24739447,8290886,3182016,1118937,2.996541546,1.004225533,0.385418605,0.13553016,,,,,
8288000,24832730,8320730,3190512,1122261,2.996227075,1.003949083,0.384955598,0.135407939,,,,,
8320000,24933465,8357767,3203712,1130508,2.996810697,1.004539303,0.385061538,0.135878365,,,,,
8352000,25022164,8385554,3218443,1130469,2.995948755,1.004017481,0.385349976,0.135353089,,,,,
8384000,25117996,8419504,3226689,1140508,2.995944179,1.004234733,0.384862715,0.136033874,,,,,
8416000,25241784,8447616,3238816,1140345,2.999261407,1.003756654,0.384840304,0.135497267,,,,,
8448000,25310064,8484729,3256629,1151318,2.995982955,1.004347656,0.385491122,0.136282907,,,,,
8480000,25412995,8510604,3262591,1150401,2.996815448,1.003608962,0.384739505,0.135660495,,,,,
8512000,25508757,8550307,3274624,1160080,2.99679946,1.004500352,0.384706767,0.136287594,,,,,
8544000,25598236,8579467,3291588,1159332,2.996048221,1.0041511,0.385251404,0.135689607,,,,,
8576000,25698489,8609085,3298653,1168932,2.996558885,1.003857859,0.38463771,0.136302705,,,,,
8608000,25797007,8645092,3315050,1168101,2.996864196,1.004309015,0.385112686,0.135699466,,,,,
8640000,25892601,8673645,3322701,1177848,2.996828819,1.003894097,0.384571875,0.136325,,,,,
8672000,25981932,8709568,3334838,1177742,2.996071494,1.004332103,0.384552352,0.135809732,,,,,
8704000,26081848,8740497,3350661,1188139,2.996535846,1.00419313,0.384956457,0.13650494,,,,,
8736000,26182797,8766902,3358759,1187601,2.997115041,1.003537317,0.384473329,0.135943338,,,,,
8768000,26276784,8803783,3374944,1197470,2.996895985,1.00408109,0.384916058,0.136572765,,,,,
8800000,26370081,8840611,3382624,1195761,2.996600114,1.004614886,0.384389091,0.135881932,,,,,
8832000,26465868,8865415,3395090,1206960,2.996588315,1.003783401,0.384407835,0.136657609,,,,,
8864000,26563850,8899492,3410815,1203350,2.996824233,1.004004061,0.384794111,0.135756995,,,,,
8896000,26667264,8930836,3418819,1215429,2.997669065,1.003915917,0.38430969,0.136626461,,,,,
