dot product examples,,,,,,,,,,,,,,,,,
testing option 0,,,,,,,,,,,,,,,,,
testing option 1,,,,,,,,,,,,,,,,,
testing option 2,,,,,,,,,,,,,,,,,
testing option 3,,,,,,,,,,,,,,,,,
testing option 4,,,,,,,,,,,,,,,,,
testing option 5,,,,,,,,,,,,,,,,,
testing option 6,,,,,,,,,,,,,,,,,
testing option 7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Computed dot products:,,,,,,,,,,,,,,,,,
size, dot4, dot5, dot6_2, dot6_5, dot8, dot8_2, dot8_4, dot8_8,,,,,,,,,
5152,2.29E+10,2.29E+10,2.29E+10,2.29E+10,2.29E+10,2.29E+10,2.10E+10,2.29E+10,,,,,,,,,
5184,2.33E+10,2.33E+10,2.33E+10,2.33E+10,2.33E+10,2.33E+10,2.14E+10,2.33E+10,,,,,,,,,
5216,2.37E+10,2.37E+10,2.37E+10,2.37E+10,2.37E+10,2.37E+10,2.18E+10,2.37E+10,,,,,,,,,
5248,2.41E+10,2.41E+10,2.41E+10,2.41E+10,2.41E+10,2.41E+10,2.21E+10,2.41E+10,,,,,,,,,
5280,2.45E+10,2.45E+10,2.45E+10,2.45E+10,2.45E+10,2.45E+10,2.25E+10,2.45E+10,,,,,,,,,
5312,2.49E+10,2.49E+10,2.49E+10,2.49E+10,2.49E+10,2.49E+10,2.28E+10,2.49E+10,,,,,,,,,
5344,2.53E+10,2.53E+10,2.53E+10,2.53E+10,2.53E+10,2.53E+10,2.33E+10,2.53E+10,,,,,,,,,
5376,2.58E+10,2.58E+10,2.58E+10,2.58E+10,2.58E+10,2.58E+10,2.37E+10,2.58E+10,,,,,,,,,
5408,2.62E+10,2.62E+10,2.62E+10,2.62E+10,2.62E+10,2.62E+10,2.41E+10,2.62E+10,,,,,,,,,
5440,2.67E+10,2.67E+10,2.67E+10,2.67E+10,2.67E+10,2.67E+10,2.45E+10,2.67E+10,,,,,,,,,
5472,2.72E+10,2.72E+10,2.72E+10,2.72E+10,2.72E+10,2.72E+10,2.50E+10,2.72E+10,,,,,,,,,
5504,2.77E+10,2.77E+10,2.77E+10,2.77E+10,2.77E+10,2.77E+10,2.54E+10,2.77E+10,,,,,,,,,
5536,2.81E+10,2.81E+10,2.81E+10,2.81E+10,2.81E+10,2.81E+10,2.58E+10,2.81E+10,,,,,,,,,
5568,2.86E+10,2.86E+10,2.86E+10,2.86E+10,2.86E+10,2.86E+10,2.63E+10,2.86E+10,,,,,,,,,
5600,2.91E+10,2.91E+10,2.91E+10,2.91E+10,2.91E+10,2.91E+10,2.67E+10,2.91E+10,,,,,,,,,
5632,2.96E+10,2.96E+10,2.96E+10,2.96E+10,2.96E+10,2.96E+10,2.72E+10,2.96E+10,,,,,,,,,
5664,3.00E+10,3.00E+10,3.00E+10,3.00E+10,3.00E+10,3.00E+10,2.75E+10,3.00E+10,,,,,,,,,
5696,3.05E+10,3.05E+10,3.05E+10,3.05E+10,3.05E+10,3.05E+10,2.80E+10,3.05E+10,,,,,,,,,
5728,3.11E+10,3.11E+10,3.11E+10,3.11E+10,3.11E+10,3.11E+10,2.86E+10,3.11E+10,,,,,,,,,
5760,3.16E+10,3.16E+10,3.16E+10,3.16E+10,3.16E+10,3.16E+10,2.91E+10,3.16E+10,,,,,,,,,
5792,3.23E+10,3.23E+10,3.23E+10,3.23E+10,3.23E+10,3.23E+10,2.97E+10,3.23E+10,,,,,,,,,
5824,3.27E+10,3.27E+10,3.27E+10,3.27E+10,3.27E+10,3.27E+10,3.01E+10,3.27E+10,,,,,,,,,
5856,3.32E+10,3.32E+10,3.32E+10,3.32E+10,3.32E+10,3.32E+10,3.05E+10,3.32E+10,,,,,,,,,
5888,3.37E+10,3.37E+10,3.37E+10,3.37E+10,3.37E+10,3.37E+10,3.10E+10,3.37E+10,,,,,,,,,
